time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,risco_rebaixamento,faixa,principais_fatores
Atletico-GO,19,22,5,7,7,17,25,-8,14,2020,0.38596491228070173,2,3,1.1578947368421053,0.8947368421052632,1.3157894736842106,-0.42105263157894735,0.4666666666666667,2.0,0.45454545454545453,0.5454545454545454,13.0,0.0,,,
Vasco,19,21,5,6,8,21,26,-5,15,2020,0.3684210526315789,1,2,1.105263157894737,1.105263157894737,1.368421052631579,-0.2631578947368421,0.13333333333333333,-4.0,0.5714285714285714,0.42857142857142855,17.0,1.0,,,
Botafogo-RJ,19,20,3,11,5,19,26,-7,16,2020,0.3508771929824561,0,1,1.0526315789473684,1.0,1.368421052631579,-0.3684210526315789,0.3333333333333333,1.0,0.55,0.45,20.0,1.0,,,
Athletico-PR,19,19,5,4,10,15,20,-5,17,2020,0.3333333333333333,-1,0,1.0,0.7894736842105263,1.0526315789473684,-0.2631578947368421,0.06666666666666667,-5.0,0.631578947368421,0.3684210526315789,9.0,0.0,,,
Coritiba,19,19,5,4,10,16,24,-8,18,2020,0.3333333333333333,-1,0,1.0,0.8421052631578947,1.263157894736842,-0.42105263157894735,0.4666666666666667,0.0,0.5789473684210527,0.42105263157894735,19.0,1.0,,,
Bragantino,19,19,4,7,8,22,26,-4,19,2020,0.3333333333333333,-1,0,1.0,1.1578947368421053,1.368421052631579,-0.21052631578947367,0.4666666666666667,0.0,0.7368421052631579,0.2631578947368421,10.0,0.0,,,
Goias,19,12,2,6,11,21,36,-15,20,2020,0.21052631578947367,-8,-7,0.631578947368421,1.105263157894737,1.894736842105263,-0.7894736842105263,0.2,0.0,0.75,0.25,18.0,1.0,,,
Atletico-MG,19,42,13,3,3,29,14,15,1,2021,0.7368421052631579,21,23,2.210526315789474,1.5263157894736843,0.7368421052631579,0.7894736842105263,0.7333333333333333,1.0,0.5238095238095238,0.47619047619047616,1.0,0.0,,,
Palmeiras,19,38,12,2,5,31,21,10,2,2021,0.6666666666666666,17,19,2.0,1.631578947368421,1.105263157894737,0.5263157894736842,0.4,-1.0,0.5789473684210527,0.42105263157894735,3.0,0.0,,,
Flamengo,19,36,11,3,5,38,20,18,3,2021,0.631578947368421,15,17,1.894736842105263,2.0,1.0526315789473684,0.9473684210526315,0.6666666666666666,2.0,0.5833333333333334,0.4166666666666667,2.0,0.0,,,
Fortaleza,19,33,9,6,4,29,20,9,4,2021,0.5789473684210527,12,14,1.736842105263158,1.5263157894736843,1.0526315789473684,0.47368421052631576,0.4,-1.0,0.6363636363636364,0.36363636363636365,4.0,0.0,,,
Bragantino,19,33,8,9,2,30,20,10,5,2021,0.5789473684210527,12,14,1.736842105263158,1.5789473684210527,1.0526315789473684,0.5263157894736842,0.4,-1.0,0.36363636363636365,0.6363636363636364,6.0,0.0,,,
Corinthians,19,28,7,7,5,18,16,2,6,2021,0.49122807017543857,7,9,1.4736842105263157,0.9473684210526315,0.8421052631578947,0.10526315789473684,0.7333333333333333,6.0,0.32142857142857145,0.6785714285714286,5.0,0.0,,,
Athletico-PR,19,25,7,4,8,25,23,2,7,2021,0.43859649122807015,4,6,1.3157894736842106,1.3157894736842106,1.2105263157894737,0.10526315789473684,0.06666666666666667,-1.0,0.64,0.36,14.0,0.0,,,
Fluminense,19,25,6,7,6,18,20,-2,8,2021,0.43859649122807015,4,6,1.3157894736842106,0.9473684210526315,1.0526315789473684,-0.10526315789473684,0.4666666666666667,2.0,0.52,0.48,7.0,0.0,,,
Atletico-GO,19,25,6,7,6,15,19,-4,9,2021,0.43859649122807015,4,6,1.3157894736842106,0.7894736842105263,1.0,-0.21052631578947367,0.4,0.0,0.44,0.56,9.0,0.0,,,
Internacional,19,24,5,9,5,23,23,0,10,2021,0.42105263157894735,3,5,1.263157894736842,1.2105263157894737,1.2105263157894737,0.0,0.6,4.0,0.4166666666666667,0.5833333333333334,12.0,0.0,,,
Cuiaba,19,24,5,9,5,19,19,0,11,2021,0.42105263157894735,3,5,1.263157894736842,1.0,1.0,0.0,0.7333333333333333,5.0,0.5,0.5,15.0,0.0,,,
Ceara,19,24,5,9,5,20,21,-1,12,2021,0.42105263157894735,3,5,1.263157894736842,1.0526315789473684,1.105263157894737,-0.05263157894736842,0.13333333333333333,-5.0,0.75,0.25,11.0,0.0,,,
Juventude,19,23,5,8,6,16,21,-5,13,2021,0.40350877192982454,2,4,1.2105263157894737,0.8421052631578947,1.105263157894737,-0.2631578947368421,0.4,0.0,0.6521739130434783,0.34782608695652173,16.0,0.0,,,
Sao Paulo,19,23,5,8,6,15,20,-5,14,2021,0.40350877192982454,2,4,1.2105263157894737,0.7894736842105263,1.0526315789473684,-0.2631578947368421,0.7333333333333333,3.0,0.4782608695652174,0.5217391304347826,13.0,0.0,,,
Santos,19,22,5,7,7,20,25,-5,15,2021,0.38596491228070173,1,3,1.1578947368421053,1.0526315789473684,1.3157894736842106,-0.2631578947368421,0.2,-7.0,0.7272727272727273,0.2727272727272727,10.0,0.0,,,
Bahia,19,21,6,3,10,24,32,-8,16,2021,0.3684210526315789,0,2,1.105263157894737,1.263157894736842,1.6842105263157894,-0.42105263157894735,0.26666666666666666,-5.0,0.6190476190476191,0.38095238095238093,18.0,1.0,,,
America-MG,19,19,4,7,8,15,22,-7,17,2021,0.3333333333333333,-2,0,1.0,0.7894736842105263,1.1578947368421053,-0.3684210526315789,0.5333333333333333,2.0,0.631578947368421,0.3684210526315789,8.0,0.0,,,
Gremio,19,17,4,5,10,15,22,-7,18,2021,0.2982456140350877,-4,-2,0.8947368421052632,0.7894736842105263,1.1578947368421053,-0.3684210526315789,0.4,0.0,0.6470588235294118,0.35294117647058826,17.0,1.0,,,
Sport,19,17,3,8,8,8,14,-6,19,2021,0.2982456140350877,-4,-2,0.8947368421052632,0.42105263157894735,0.7368421052631579,-0.3157894736842105,0.2,-4.0,0.4117647058823529,0.5882352941176471,19.0,1.0,,,
Chapecoense,19,7,0,7,12,15,31,-16,20,2021,0.12280701754385964,-14,-12,0.3684210526315789,0.7894736842105263,1.631578947368421,-0.8421052631578947,0.2,0.0,0.2857142857142857,0.7142857142857143,20.0,1.0,,,
Palmeiras,19,39,11,6,2,31,13,18,1,2022,0.6842105263157895,18,19,2.0526315789473686,1.631578947368421,0.6842105263157895,0.9473684210526315,0.6666666666666666,0.0,0.5128205128205128,0.48717948717948717,1.0,0.0,,,
Corinthians,19,35,10,5,4,24,19,5,2,2022,0.6140350877192983,14,15,1.8421052631578947,1.263157894736842,1.0,0.2631578947368421,0.6,0.0,0.6,0.4,4.0,0.0,,,
Fluminense,19,34,10,4,5,29,20,9,3,2022,0.5964912280701754,13,14,1.7894736842105263,1.5263157894736843,1.0526315789473684,0.47368421052631576,0.8666666666666667,3.0,0.5588235294117647,0.4411764705882353,3.0,0.0,,,
Atletico-MG,19,32,8,8,3,27,20,7,4,2022,0.5614035087719298,11,12,1.6842105263157894,1.4210526315789473,1.0526315789473684,0.3684210526315789,0.5333333333333333,1.0,0.5625,0.4375,7.0,0.0,,,
Athletico-PR,19,31,9,4,6,24,20,4,5,2022,0.543859649122807,10,11,1.631578947368421,1.263157894736842,1.0526315789473684,0.21052631578947367,0.4666666666666667,-2.0,0.5806451612903226,0.41935483870967744,6.0,0.0,,,
Flamengo,19,30,9,3,7,26,18,8,6,2022,0.5263157894736842,9,10,1.5789473684210527,1.368421052631579,0.9473684210526315,0.42105263157894735,0.8,3.0,0.6333333333333333,0.36666666666666664,5.0,0.0,,,
Internacional,19,30,7,9,3,27,20,7,7,2022,0.5263157894736842,9,10,1.5789473684210527,1.4210526315789473,1.0526315789473684,0.3684210526315789,0.4,-3.0,0.5333333333333333,0.4666666666666667,2.0,0.0,,,
Bragantino,19,27,7,6,6,30,23,7,8,2022,0.47368421052631576,6,7,1.4210526315789473,1.5789473684210527,1.2105263157894737,0.3684210526315789,0.6,4.0,0.6296296296296297,0.37037037037037035,14.0,0.0,,,
Santos,19,26,6,8,5,22,16,6,9,2022,0.45614035087719296,5,6,1.368421052631579,1.1578947368421053,0.8421052631578947,0.3157894736842105,0.4666666666666667,-2.0,0.6923076923076923,0.3076923076923077,12.0,0.0,,,
Sao Paulo,19,26,5,11,3,28,24,4,10,2022,0.45614035087719296,5,6,1.368421052631579,1.4736842105263157,1.263157894736842,0.21052631578947367,0.4666666666666667,-2.0,0.6153846153846154,0.38461538461538464,9.0,0.0,,,
Botafogo-RJ,19,24,7,3,9,19,24,-5,11,2022,0.42105263157894735,3,4,1.263157894736842,1.0,1.263157894736842,-0.2631578947368421,0.4,-1.0,0.4166666666666667,0.5833333333333334,11.0,0.0,,,
Ceara,19,24,5,9,5,20,19,1,12,2022,0.42105263157894735,3,4,1.263157894736842,1.0526315789473684,1.0,0.05263157894736842,0.4666666666666667,3.0,0.4583333333333333,0.5416666666666666,17.0,1.0,,,
Coritiba,19,22,6,4,9,22,30,-8,13,2022,0.38596491228070173,1,2,1.1578947368421053,1.1578947368421053,1.5789473684210527,-0.42105263157894735,0.4666666666666667,3.0,0.9090909090909091,0.09090909090909091,15.0,0.0,,,
Goias,19,22,5,7,7,21,25,-4,14,2022,0.38596491228070173,1,2,1.1578947368421053,1.105263157894737,1.3157894736842106,-0.21052631578947367,0.3333333333333333,0.0,0.5909090909090909,0.4090909090909091,13.0,0.0,,,
America-MG,19,21,6,3,10,13,22,-9,15,2022,0.3684210526315789,0,1,1.105263157894737,0.6842105263157895,1.1578947368421053,-0.47368421052631576,0.4,2.0,0.6666666666666666,0.3333333333333333,10.0,0.0,,,
Avai,19,21,6,3,10,20,30,-10,16,2022,0.3684210526315789,0,1,1.105263157894737,1.0526315789473684,1.5789473684210527,-0.5263157894736842,0.2,-5.0,0.8095238095238095,0.19047619047619047,19.0,1.0,,,
Cuiaba,19,20,5,5,9,14,20,-6,17,2022,0.3508771929824561,-1,0,1.0526315789473684,0.7368421052631579,1.0526315789473684,-0.3157894736842105,0.4666666666666667,1.0,0.55,0.45,16.0,0.0,,,
Atletico-GO,19,17,4,5,10,18,28,-10,18,2022,0.2982456140350877,-4,-3,0.8947368421052632,0.9473684210526315,1.4736842105263157,-0.5263157894736842,0.0,-5.0,0.6470588235294118,0.35294117647058826,18.0,1.0,,,
Juventude,19,16,3,7,9,16,32,-16,19,2022,0.2807017543859649,-5,-4,0.8421052631578947,0.8421052631578947,1.6842105263157894,-0.8421052631578947,0.3333333333333333,0.0,0.5625,0.4375,20.0,1.0,,,
Fortaleza,19,15,3,6,10,15,23,-8,20,2022,0.2631578947368421,-6,-5,0.7894736842105263,0.7894736842105263,1.2105263157894737,-0.42105263157894735,0.3333333333333333,0.0,0.6,0.4,8.0,0.0,,,
Botafogo-RJ,19,47,15,2,2,35,11,24,1,2023,0.8245614035087719,29,29,2.473684210526316,1.8421052631578947,0.5789473684210527,1.263157894736842,0.7333333333333333,0.0,0.6382978723404256,0.3617021276595745,5.0,0.0,,,
Gremio,19,34,10,4,5,32,27,5,2,2023,0.5964912280701754,16,16,1.7894736842105263,1.6842105263157894,1.4210526315789473,0.2631578947368421,0.5333333333333333,1.0,0.6764705882352942,0.3235294117647059,2.0,0.0,,,
Palmeiras,19,34,9,7,3,34,17,17,3,2023,0.5964912280701754,16,16,1.7894736842105263,1.7894736842105263,0.8947368421052632,0.8947368421052632,0.6666666666666666,2.0,0.5882352941176471,0.4117647058823529,1.0,0.0,,,
Flamengo,19,32,9,5,5,31,24,7,4,2023,0.5614035087719298,14,14,1.6842105263157894,1.631578947368421,1.263157894736842,0.3684210526315789,0.4,-2.0,0.5625,0.4375,4.0,0.0,,,
Bragantino,19,32,8,8,3,27,17,10,5,2023,0.5614035087719298,14,14,1.6842105263157894,1.4210526315789473,0.8947368421052632,0.5263157894736842,0.5333333333333333,1.0,0.59375,0.40625,6.0,0.0,,,
Athletico-PR,19,31,9,4,6,28,22,6,6,2023,0.543859649122807,13,13,1.631578947368421,1.4736842105263157,1.1578947368421053,0.3157894736842105,0.7333333333333333,5.0,0.7419354838709677,0.25806451612903225,8.0,0.0,,,
Fluminense,19,31,9,4,6,25,19,6,7,2023,0.543859649122807,13,13,1.631578947368421,1.3157894736842106,1.0,0.3157894736842105,0.4666666666666667,-3.0,0.7741935483870968,0.22580645161290322,7.0,0.0,,,
Cuiaba,19,28,8,4,7,21,21,0,8,2023,0.49122807017543857,10,10,1.4736842105263157,1.105263157894737,1.105263157894737,0.0,0.8,6.0,0.42857142857142855,0.5714285714285714,12.0,0.0,,,
Sao Paulo,19,27,7,6,6,24,19,5,9,2023,0.47368421052631576,9,9,1.4210526315789473,1.263157894736842,1.0,0.2631578947368421,0.3333333333333333,-1.0,0.8148148148148148,0.18518518518518517,11.0,0.0,,,
Atletico-MG,19,27,7,6,6,22,17,5,10,2023,0.47368421052631576,9,9,1.4210526315789473,1.1578947368421053,0.8947368421052632,0.2631578947368421,0.4666666666666667,2.0,0.4444444444444444,0.5555555555555556,3.0,0.0,,,
Fortaleza,19,26,7,5,7,21,19,2,11,2023,0.45614035087719296,8,8,1.368421052631579,1.105263157894737,1.0,0.10526315789473684,0.2,-4.0,0.6923076923076923,0.3076923076923077,10.0,0.0,,,
Cruzeiro,19,24,6,6,7,19,16,3,12,2023,0.42105263157894735,6,6,1.263157894736842,1.0,0.8421052631578947,0.15789473684210525,0.2,-3.0,0.4583333333333333,0.5416666666666666,14.0,0.0,,,
Corinthians,19,24,6,6,7,24,25,-1,13,2023,0.42105263157894735,6,6,1.263157894736842,1.263157894736842,1.3157894736842106,-0.05263157894736842,0.6,2.0,0.6666666666666666,0.3333333333333333,13.0,0.0,,,
